S.NO,PHONE PAY,SWIPE,CASH,TOTAL
1,45539.0,102848.71,0,148387.71000000002
2,30941.0,303953.0,0,334894.0
3,11517.0,118785.0,0,130302.0
4,33470.0,123901.0,0,157371.0
5,31519.0,230050.0,0,261569.0
6,23485.0,111000.0,0,134485.0
7,17707.0,83975.0,0,101682.0
8,28503.0,118624.0,0,147127.0
9,45318.0,557160.0,0,602478.0
10,24195.0,99218.0,0,123413.0
11,37425.0,190144.25,0,227569.25
12,77120.0,46000.0,0,123120.0
13,46009.0,78325.0,0,124334.0
14,16190.0,32300.0,0,48490.0
15,20387.0,51270.0,0,71657.0
16,31054.0,137256.0,0,168310.0
17,28850.0,40000.0,0,68850.0
18,50717.0,59115.0,0,109832.0
19,35330.0,36000.0,0,71330.0
20,29665.0,56582.0,0,86247.0
21,21360.0,65925.0,0,87285.0
22,46647.0,117652.0,0,164299.0
23,52398.0,28930.08,0,81328.08
24,37363.0,73737.5,0,111100.5
25,9675.0,71000.0,0,80675.0
26,140278.0,118255.0,0,258533.0
27,29304.0,54390.0,0,83694.0
28,27825.0,129775.0,0,157600.0
29,49266.0,59500.0,0,108766.0
30,0.0,124540.0,0,124540.0
31,0.0,140190.0,0,140190.0
TOTAL,1079057.0,3560401.54,0,4639458.54
